"Participant","Carrier","SPL","SL","Rayleigh","Ftest"
"ANH4211","u_F1",35,13.66,0.0010589,1.61273135204096e-05
"ANH4211","u_F1",50,28.66,0,1.17171924263466e-08
"ANH4211","u_F1",65,43.66,0,1.88443791384216e-09
"ANH4211","u_F2",20,-8.8,0.83341384,0.827106560416216
"ANH4211","u_F2",35,6.2,0.43977998,0.492436258081182
"ANH4211","u_F2",50,21.2,0.05194374,0.0801441125503472
"ANH4211","u_F2",65,36.2,0,4.73256928309693e-06
"ANH4212","a_F1",20,4.9,0.46512699,0.431820367303287
"ANH4212","a_F1",35,19.9,0.91379118,0.986535581371419
"ANH4212","a_F1",50,34.9,0.14981796,0.36651772674643
"ANH4212","a_F1",65,49.9,0,0.000491663750678015
"ANH4212","a_F2",20,1.71,0.58784814,0.263678054161512
"ANH4212","a_F2",35,16.71,4e-08,0.00274296902146386
"ANH4212","a_F2",50,31.71,0,0.000128514159457372
"ANH4212","a_F2",65,46.71,0,4.56846117003686e-10
"ANH4212","i_F1",20,-1.54,0.06829838,0.152426989551639
"ANH4212","i_F1",35,13.46,0.02832917,0.00687753843796366
"ANH4212","i_F1",50,28.46,0.15087536,0.0422322166802472
"ANH4212","i_F1",65,43.46,0,4.57535580704773e-07
"ANH4212","i_F2",20,-3.64,0.44469963,0.255060157555188
"ANH4212","i_F2",35,11.36,0.0046062,0.00930000575846373
"ANH4212","i_F2",50,26.36,1e-08,3.05223771433111e-07
"ANH4212","i_F2",65,41.36,0,3.21853789553485e-09
"ANH4212","s",20,-5.36,0.05833195,0.417633885443936
"ANH4212","s",35,9.64,0,3.18289412940143e-07
"ANH4212","s",50,24.64,0,4.98652154847653e-07
"ANH4212","s",65,39.64,0,4.98100411672956e-08
"ANH4212","sh",20,-4.37,0.00098089,0.115509283175818
"ANH4212","sh",35,10.63,0,4.28097820049108e-05
"ANH4212","sh",50,25.63,0,2.87411244687107e-05
"ANH4212","sh",65,40.63,0,1.66281951527885e-08
"ANH4212","u_F1",20,-1.34,0.89197018,0.52344247898679
"ANH4212","u_F1",35,13.66,4.69e-05,5.48699024272841e-08
"ANH4212","u_F1",50,28.66,0.00010519,0.00136873979613372
"ANH4212","u_F1",65,43.66,0,1.40478246972463e-10
"ANH4212","u_F2",20,-3.8,0.49368658,0.664126973372335
"ANH4212","u_F2",35,11.2,0.0020805,0.0181501435888564
"ANH4212","u_F2",50,26.2,0.00024137,0.00549739033408037
"ANH4212","u_F2",65,41.2,0,1.93301956886954e-09
"ANH4213","a_F1",20,-0.1,0.19486451,0.652801258189488
"ANH4213","a_F1",35,14.9,0.58822834,0.0828690432975552
"ANH4213","a_F1",50,29.9,0.42369005,0.306626892378181
"ANH4213","a_F1",65,44.9,0.0058191,0.0613562131931532
"ANH4213","a_F2",20,1.71,0.13478192,0.229224726867246
"ANH4213","a_F2",35,16.71,0.6035987,0.481299520500741
"ANH4213","a_F2",50,31.71,1e-08,0.00107534705117059
"ANH4213","a_F2",65,46.71,7e-08,0.000222864110239702
"ANH4213","i_F1",20,-1.54,0.9528079,0.639594929577689
"ANH4213","i_F1",35,13.46,0.79752535,0.783964840100872
"ANH4213","i_F1",50,28.46,0.10454222,0.0852125631834632
"ANH4213","i_F1",65,43.46,2.65e-06,0.000225017980442092
"ANH4213","i_F2",20,-8.64,0.5224862,0.619495386143769
"ANH4213","i_F2",35,6.36,0.38884415,0.343812650666093
"ANH4213","i_F2",50,21.36,6.46e-06,0.000367563104538144
"ANH4213","i_F2",65,36.36,5.2e-07,4.52282734005358e-05
"ANH4213","s",20,-5.36,0.71045809,0.239407731679356
"ANH4213","s",35,9.64,0.00154867,0.00255046147009835
"ANH4213","s",50,24.64,1e-08,0.000368882615154707
"ANH4213","s",65,39.64,1e-08,0.000160050603969589
"ANH4213","sh",20,-4.37,0.21029575,0.0431160595320979
"ANH4213","sh",35,10.63,0.90502094,0.269897057158039
"ANH4213","sh",50,25.63,2.384e-05,0.000260916122282126
"ANH4213","sh",65,40.63,0,0.000362698863902282
"ANH4213","u_F1",20,3.66,0.95092944,0.536363863750442
"ANH4213","u_F1",35,18.66,0.20890851,0.526470061012983
"ANH4213","u_F1",50,33.66,0.12555897,0.293740275902371
"ANH4213","u_F1",65,48.66,0,1.31634390510839e-06
"ANH4213","u_F2",20,-8.8,0.34313538,0.156524596139445
"ANH4213","u_F2",35,6.2,0.07979117,0.135712890318228
"ANH4213","u_F2",50,21.2,0.32892271,0.309046616900485
"ANH4213","u_F2",65,36.2,0,8.34962607802759e-08
"ANH4214","a_F1",20,-0.1,0.38675242,0.365449024543037
"ANH4214","a_F1",35,14.9,0.01359015,0.0446559905748003
"ANH4214","a_F1",50,29.9,0.00096485,0.00869357981061326
"ANH4214","a_F1",65,44.9,0,8.45492205536044e-09
"ANH4214","a_F2",20,-3.29,0.03492734,0.432651779664747
"ANH4214","a_F2",35,11.71,2.272e-05,0.0873270793790604
"ANH4214","a_F2",50,26.71,0,1.35980200904132e-06
"ANH4214","a_F2",65,41.71,0,1.47791064462237e-06
"ANH4214","i_F1",20,-6.54,0.00250018,0.255841773165485
"ANH4214","i_F1",35,8.46,0.8364333,0.970420489345118
"ANH4214","i_F1",50,23.46,7.883e-05,0.000387920023674674
"ANH4214","i_F1",65,38.46,0,1.48676268883598e-07
"ANH4214","i_F2",20,-13.64,0.01719521,0.443454062089638
"ANH4214","i_F2",35,1.36,0.00862835,0.236010391488217
"ANH4214","i_F2",50,16.36,0.00024083,4.01864487593385e-05
"ANH4214","i_F2",65,31.36,9.507e-05,0.000170006560190897
"ANH4214","s",20,-5.36,0.36532758,0.157507496909085
"ANH4214","s",35,9.64,0,4.31761232568714e-07
"ANH4214","s",50,24.64,0,6.65218131379579e-10
"ANH4214","s",65,39.64,0,9.81819278306113e-09
"ANH4214","sh",20,-9.37,0.33600719,0.341451257142739
"ANH4214","sh",35,5.63,0.00119046,2.34816759477721e-05
"ANH4214","sh",50,20.63,0,5.5552107938465e-05
"ANH4214","sh",65,35.63,0,5.10467685275504e-07
"ANH4214","u_F1",20,-6.34,0.01799177,0.621479761081832
"ANH4214","u_F1",35,8.66,0.00024557,0.0504523738921369
"ANH4214","u_F1",50,23.66,7e-07,0.000612607116644653
"ANH4214","u_F1",65,38.66,0,1.74246791012748e-08
"ANH4214","u_F2",20,-13.8,0.15497155,0.398239347959321
"ANH4214","u_F2",35,1.2,0.81567514,0.939543739663584
"ANH4214","u_F2",50,16.2,0.54306144,0.365441876421678
"ANH4214","u_F2",65,31.2,5e-07,4.18042853778574e-07
"ANH4215","a_F1",20,4.9,0.04140161,0.0938254450875988
"ANH4215","a_F1",35,19.9,0.22942091,0.276094826818477
"ANH4215","a_F1",50,34.9,0.09328789,0.203895394490991
"ANH4215","a_F1",65,49.9,0.00026908,0.00103672221497621
"ANH4215","a_F2",20,1.71,0.12255386,0.244901925022296
"ANH4215","a_F2",35,16.71,0.06353186,0.243733850752844
"ANH4215","a_F2",50,31.71,0,1.39170677698544e-05
"ANH4215","a_F2",65,46.71,0,1.87555995655724e-07
"ANH4215","i_F1",20,-6.54,0.18613047,0.242674352942914
"ANH4215","i_F1",35,8.46,0.84786723,0.342165125090011
"ANH4215","i_F1",50,23.46,0.00602845,0.0509534550270582
"ANH4215","i_F1",65,38.46,0.0013615,0.000978369193795505
"ANH4215","i_F2",20,-13.64,0.75569681,0.653931367565407
"ANH4215","i_F2",35,1.36,0.93103045,0.878431177148159
"ANH4215","i_F2",50,16.36,6.533e-05,0.00268005604095383
"ANH4215","i_F2",65,31.36,3.57e-06,0.000241038177771237
"ANH4215","s",20,-0.36,0.73801428,0.219397618921321
"ANH4215","s",35,14.64,0,1.63859752313245e-06
"ANH4215","s",50,29.64,0,1.64497619877362e-07
"ANH4215","s",65,44.64,0,2.43384920360343e-09
"ANH4215","sh",20,-4.37,0.78129195,0.31894305550921
"ANH4215","sh",35,10.63,0.00362599,0.00190494299798046
"ANH4215","sh",50,25.63,0,4.36959961243389e-05
"ANH4215","sh",65,40.63,0,1.06533514747495e-05
