"race","activity","bmi"
"2","1",24.937653439
"2","2",28.096268347
"1","3",22.859488305
"1","1",20.443188029
"2","1",32.489104857
"1","3",26.780456776
"1","1",22.823024804
"2","3",20.264539834
"1","3",21.392740031
"1","3",31.225139781
"1","2",23.806228374
"1","2",23.305721171
"1","3",32.912827869
"1","3",20.201598984
"1","3",21.500981744
"1","3",20.977300945
"2","3",22.869959455
"2","2",23.693917059
"2","1",26.322203822
"2","2",36.388884823
"2","3",24.355475801
"2","2",29.327033953
"1","1",27.877137169
"1","2",19.102171717
"1","2",19.609630999
"1","3",20.723143422
"1","2",19.473621503
"1","1",20.397405879
"2","2",18.14947637
"1","3",17.850048283
"2","3",20.424651521
"1","2",23.90625
"1","3",27.277543672
"1","1",42.221117067
"1","2",23.175179057
"1","2",45.963271084
"1","2",29.638346099
"1","2",26.021327892
"1","2",28.985308958
"1","3",20.650823177
"1","1",23.809053498
"1","3",21.812411315
"1","3",21.818345557
"1","3",20.678007401
"1","3",21.014611022
"1","2",42.218118395
"2","3",19.565364207
"1","3",23.284190736
"1","1",22.687309994
"2","1",29.203326739
"2","3",17.934028965
"2","3",26.006032199
"2","3",22.978564382
"2","3",20.695150295
"2","3",26.619413468
"2","1",37.264295379
"2","2",40.336859682
"2","3",42.824513104
"2","2",19.341602677
"2","2",29.201168377
"2","3",22.323267811
"2","2",24.775940929
"2","2",23.010713942
"2","2",29.551687427
"2","3",19.444211635
"2","3",18.091733887
"2","1",31.345323887
"2","3",19.109748065
"2","3",20.184443782
"2","2",18.421104804
"2","3",30.530704853
"1","1",18.732347107
"1","2",20.06370923
"2","3",22.765104485
"2","2",21.702537151
"2","2",21.387365273
"1","2",18.747363652
"1","2",23.382043418
"1","3",20.011206276
"1","1",18.538628735
"2","1",39.911553249
"1","3",18.649843352
"2","2",18.487887699
"2","2",23.812349195
"2","2",24.287001983
"1","2",33.161509922
"2","2",21.470588422
"2","2",21.424653694
"2","2",17.246725348
"2","2",36.102154053
"2","2",23.885392
"2","3",21.379918707
"1","3",19.139145987
"2","2",18.418655693
"1","2",21.618114944
"1","3",20.732353736
"1","2",25.817694174
"1","3",26.089425342
"1","1",16.989965412
"1","2",20.221118729
"1","2",26.589267159
"1","2",30.444117134
"1","2",23.740603981
"1","3",20.740147822
"1","2",20.04608097
"1","1",23.899764085
"1","3",25.843220463
"1","2",20.803889423
"1","3",18.871665932
"1","2",22.688522779
"2","3",27.050215173
"2","2",22.592533248
"2","3",22.582179182
"2","2",25.37201417
"2","2",37.899702604
"2","1",17.460986577
"2","2",48.513745044
"2","2",30.744066124
"2","2",27.550591363
"2","2",30.57237046
"2","2",20.072708044
"2","3",25.209424058
